Seq No,intnum,persnum,age,educatn,earnings,hours,kids,married,kidsNew,marriedNew
1,4,4,39,12.0,77250,2940,2,married,k1,m1
2,4,6,35,12.0,12000,2040,2,divorced,k1,m2
3,4,7,33,12.0,8000,693,1,married,k1,m1
4,4,173,39,10.0,15000,1904,2,married,k1,m1
5,5,2,47,9.0,6500,1683,5,married,k2,m1
6,6,4,44,12.0,6500,2024,2,married,k1,m1
7,6,172,38,16.0,7000,1144,3,married,k2,m1
8,7,4,38,9.0,5000,2080,4,divorced,k2,m2
9,7,170,39,12.0,21000,2575,3,married,k2,m1
10,7,171,37,11.0,0,0,5,married,k2,m1
12,10,171,47,12.0,22000,1920,3,married,k2,m1
13,10,178,40,12.0,0,0,0,separated,k1,m2
14,11,171,38,16.0,12143,585,0,married,k1,m1
15,13,3,41,12.0,0,0,2,married,k1,m1
16,13,4,43,15.0,30000,1504,0,never married,k1,m2
17,14,2,41,16.0,13000,1560,0,never married,k1,m2
18,14,3,36,14.0,24000,1701,1,married,k1,m1
19,16,3,31,10.0,0,0,2,married,k1,m1
20,18,170,38,12.0,0,0,2,married,k1,m1
21,18,172,39,12.0,11250,968,3,married,k2,m1
22,18,173,45,12.0,0,0,3,married,k2,m1
23,18,177,44,17.0,8500,972,2,married,k1,m1
24,22,3,36,12.0,22883,1523,1,married,k1,m1
25,23,3,43,17.0,34500,2125,2,divorced,k1,m2
26,23,172,39,12.0,5100,425,4,married,k2,m1
27,39,2,45,16.0,8000,1736,2,married,k1,m1
28,40,4,31,12.0,4000,260,3,married,k2,m1
29,40,5,31,12.0,31000,2925,0,widowed,k1,m2
30,40,170,32,12.0,12000,1175,3,married,k2,m1
31,41,5,34,10.0,0,0,2,married,k1,m1
32,41,7,32,14.0,12000,1624,2,married,k1,m1
33,41,170,38,12.0,12000,1916,2,married,k1,m1
34,41,179,34,12.0,6800,800,2,married,k1,m1
35,45,3,37,8.0,13000,2040,2,married,k1,m1
36,47,4,32,15.0,12000,2064,2,married,k1,m1
37,50,5,31,17.0,44000,1960,1,married,k1,m1
38,50,171,32,16.0,17000,1864,2,married,k1,m1
39,50,172,31,13.0,3218,480,3,divorced,k2,m2
40,51,2,50,12.0,8000,1610,1,married,k1,m1
41,53,4,34,12.0,15000,2040,3,married,k2,m1
42,53,6,33,12.0,9000,1440,1,married,k1,m1
43,53,170,33,12.0,0,0,3,married,k2,m1
44,53,183,41,0.0,0,0,1,divorced,k1,m2
46,53,190,43,12.0,10000,1700,2,married,k1,m1
47,57,3,35,10.0,0,0,2,widowed,k1,m2
48,60,2,46,12.0,2500,520,2,married,k1,m1
49,60,170,44,12.0,30000,2024,3,divorced,k2,m2
50,60,174,49,15.0,30000,2286,2,married,k1,m1
